序号,2、您的年龄？,3、你的性别？,7、您现在身高？(单位：厘米),9、你爸爸的身高？(单位：厘米),10、你妈妈身高？（单位：厘米）,12、你在上中学之前，由家人带着去电影院的次数？,13、你出生时你妈妈的年龄？,14、在上大学之前，你是否有过出境(港澳台)或出国旅游的经历？,19、你们兄弟姐妹有几人？
598,21,2,180,183,160,1,21,2,1
417,20,2,180,180,165,2,29,1,2
1052,23,2,158,172,155,1,20,2,2
267,23,2,174,165,176,1,27,2,3
472,23,2,175,165,177,2,25,2,4
1,23,1,168,178,160,1,20,2,1
5,23,2,173,174,160,1,20,2,2
9,23,1,158,173,155,2,24,2,2
15,21,1,159,159,160,1,24,2,2
17,21,1,160,172,160,1,21,2,2
22,20,1,168,163,168,1,23,2,1
34,18,1,158,172,163,3,28,2,2
39,22,1,163,170,160,1,28,2,3
40,20,1,165,178,152,1,24,2,2
46,17,1,161,172,162,1,23,2,2
53,20,2,176,175,160,1,23,2,2
55,22,2,173,170,165,1,25,2,3
61,21,1,160,168,163,1,20,2,2
65,20,1,167,180,165,1,34,2,2
67,25,1,163,170,158,1,28,2,3
68,21,1,169,175,163,1,23,2,2
69,20,2,171,165,155,2,20,2,1
70,21,1,169,176,161,1,23,2,2
71,20,2,187,183,165,1,28,1,1
78,,1,172,176,158,2,23,2,2
84,20,1,163,180,170,1,24,2,2
85,20,2,178,175,165,2,28,2,2
88,20,2,176,176,156,1,24,2,2
93,24,2,180,176,168,1,22,2,2
100,27,2,171,160,160,2,24,2,1
104,23,1,165,173,155,1,22,2,1
111,22,1,160.2,174,157,2,23,2,2
114,22,1,155,172,156,1,34,2,2
116,21,1,163,173,161,1,25,2,2
118,22,1,165,175,160,1,33,2,2
125,20,2,179,175,160,1,25,1,1
129,20,1,157,171,154,1,21,2,2
136,22,2,178,178,155,1,23,2,1
138,20,1,169,170,167,1,30,2,3
142,21,2,171,170,168,2,26,2,2
143,19,2,170,170,158,2,26,2,3
164,20,1,168,177,160,2,27,2,2
174,19,2,171,178,158,1,22,2,3
184,22,2,175,171,163,1,25,1,1
188,21,1,160,178,158,1,,2,2
199,20,2,173,173,168,1,24,2,2
204,23,1,164,170,163,1,27,2,2
208,22,2,170,168,157,2,22,2,2
215,26,2,172,170,158,1,24,2,2
223,25,2,165,174,160,1,23,2,2
225,27,2,171,160,158,2,24,2,1
232,19,1,163,177,162,1,23,2,2
236,23,2,178,180,160,1,33,2,3
240,23,1,162,167,158,1,21,2,2
247,21,2,162,160,156,1,21,2,1
260,21,2,174,172,160,2,25,2,1
262,20,2,170,167,160,1,24,2,2
269,21,1,160,168,162,1,20,2,2
276,21,1,153,167,153,1,21,2,2
294,22,1,162,170,158,1,22,2,1
295,21,2,174,170,158,1,25,2,2
298,20,1,154,180,153,1,30,2,2
302,21,1,158,173,156,1,26,2,2
304,20,1,160,170,156,1,26,2,2
305,21,2,180,171,173,2,24,2,1
308,20,1,157,167,153,2,24,2,1
310,21,1,160,178,159,1,23,2,2
312,21,1,160,173,160,1,,2,2
313,20,2,169,170,155,1,22,2,1
319,20,2,178,168,170,1,30,2,3
325,20,1,166,176,158,2,20,2,2
340,20,1,158,172,152,2,22,2,1
348,19,2,168,178,169,3,20,2,1
352,21,2,175,168,169,1,30,2,2
353,22,2,171,167,158,1,24,2,1
373,22,2,169,170,150,1,30,2,4
374,21,1,168,175,165,2,26,2,1
376,21,1,156,170,160,1,26,2,3
383,19,1,165,175,164,3,29,2,1
386,20,2,176,170,160,1,22,2,2
387,20,1,163,172,159,1,23,2,3
394,20,2,174,170,171,2,22,2,2
397,21,2,176,176,165,1,25,2,2
399,20,1,170,175,165,1,25,2,1
400,20,2,173,163,162,1,27,2,1
410,21,1,162,173,150,1,24,2,2
419,20,1,167,180,163,1,26,2,2
421,22,1,155,173,162,2,25,2,2
424,20,1,163,168,153,3,24,2,2
426,20,2,181,164,158,2,,2,1
448,21,2,176,175,160,1,26,2,2
460,21,1,158,164,165,1,28,2,1
483,21,1,157,162,160,1,25,2,2
485,21,1,167,174,165,2,21,2,2
497,21,2,178,176,165,1,27,2,1
499,21,1,166,174,163,2,23,2,2
506,20,2,173,177,164,1,24,2,1
507,20,1,170,175,155,2,,2,1
512,20,2,170,170,165,1,21,2,1
522,20,1,158,172,157,2,23,2,1
527,22,1,165,170,160,2,21,2,2
529,20,1,168,180,160,2,25,2,1
530,20,2,175,170,165,2,33,2,1
542,21,2,178,173,168,1,21,2,2
544,22,2,176,170,165,1,26,2,3
547,20,1,160,175,155,1,22,2,2
549,20,1,156,170,158,1,27,2,2
568,22,2,173,172,164,1,29,2,3
623,20,1,158,180,160,2,30,2,2
643,21,1,157,163,160,1,,2,3
645,20,1,158,168,155,1,28,2,4
651,20,2,173,170,162,1,23,2,2
654,23,2,175,162,161,1,24,1,2
672,20,2,170,165,160,2,24,2,1
679,20,1,158,176,156,1,27,2,2
708,19,1,158,168,156,2,25,2,1
712,21,2,178,175,168,1,20,2,1
723,18,1,173,170,165,3,25,2,2
727,18,1,158,162,155,1,23,2,1
744,20,2,170,172,160,1,20,2,2
767,21,2,178,170,170,1,30,2,1
784,22,2,169,170,163,1,25,2,2
814,19,2,179,178,156,1,24,2,1
829,20,1,160,175,160,1,22,2,1
837,22,1,155,165,160,1,28,2,2
841,21,1,160,165,155,1,23,2,1
846,19,1,158,170,159,1,23,2,2
897,21,1,152,165,160,1,28,2,4
903,21,1,158,169,165,1,26,2,2
912,21,1,160,165,153,1,25,2,2
944,19,1,163,172,159,2,21,2,2
947,21,2,180,178,175,1,30,2,2
951,19,1,173,170,160,2,25,1,1
952,20,1,172,170,165,1,24,2,2
977,20,2,171,178,158,1,22,2,3
990,20,2,176,176,167,1,22,2,1
995,18,1,160,160,167,1,22,2,2
1020,21,2,182,176,158,1,25,2,1
1030,21,2,173,170,162,1,22,2,3
1032,20,1,165,170,150,2,24,2,1
1034,19,1,157,178,159,1,24,2,2
1088,19,1,153,169,155,1,24,2,1
1089,20,1,160,170,157,1,33,2,2
1092,18,1,159,170,150,1,22,2,1
1134,22,2,171,167,160,1,35,1,2
1140,22,1,163,177,161,2,25,2,2
1154,22,2,173.5,165,155,1,27,2,2
1176,,1,162,175,165,2,,2,2
1213,19,1,167,182,162,1,22,2,3
1218,,1,164,170,150,1,,2,2
1223,21,2,175,173,165,2,25,2,1
1232,19,1,157,174,155,1,23,2,2
1246,20,1,163,175,160,1,27,2,2
1248,20,1,157,170,153,1,22,2,1
1249,20,1,156,168,158,2,28,2,2
1251,20,1,163,175,160,1,27,2,2
1288,19,1,157,170,155,1,27,2,2
1298,20,2,183,182,172,2,28,2,1
1302,21,1,165,172,162,1,27,2,1
1306,20,1,161,175,155,2,25,2,1
1310,21,1,162,161,161,1,34,2,2
1323,19,1,160,170,160,1,24,2,1
1334,20,2,183,182,169,2,28,2,1
1351,22,1,160,175,160,2,25,2,3
76,21,1,159,174,155,1,24,2,2
320,21,2,166,160,159,1,25,2,1
355,20,2,175,170,168,1,27,2,2
1086,20,1,160,170,155,1,22,2,2
1271,20,1,168,170,158,2,27,2,1
97,25,2,165,168,155,1,27,2,3
332,22,1,170,180,165,1,38,2,3
488,22,1,158,175,155,1,25,2,2
239,22,2,183,175,158,1,27,1,1
437,19,1,158,165,158,2,24,2,1
984,20,1,172,174,162,1,38,2,2
1252,21,2,165,170,153,2,22,2,1
1297,21,2,176,172,165,2,24,2,1
911,22,2,173,178,163,1,24,2,2
331,21,1,158,165,156,1,21,2,1
980,21,2,167,167,155,1,34,2,1
128,21,1,156,170,156,2,23,2,2
375,21,1,160,170,155,1,21,2,4
631,22,1,157,173,156,2,26,2,3
777,18,1,158,170,158,1,20,2,2
821,21,1,172,182,167,2,26,2,1
